BJD,AIRMASS,SKY,TFLUX,CFLUX1,CFLUX2,CFLUX3,CFLUX4,CFLUX5
   9014.723639, 1.412,  9061.0,    121649.8,    330296.6,    321579.5,    227689.9,    294540.4,    131545.6
   9014.725318, 1.413,  8591.0,    118582.1,    327289.6,    317500.0,    223740.5,    290580.5,    131427.6
   9014.728681, 1.416,  7776.0,    118384.4,    327999.1,    319077.4,    225125.1,    293361.4,    131027.8
   9014.730359, 1.418,  7356.0,    122444.1,    335832.6,    324487.2,    228983.6,    297350.8,    134605.2
   9014.732036, 1.420,  6917.0,    123386.8,    335967.8,    324169.4,    229693.8,    296872.6,    132331.4
   9014.733715, 1.421,  6531.0,    117528.8,    324757.4,    315772.5,    222969.1,    286862.9,    129896.0
   9014.735397, 1.423,  6056.0,    114077.1,    310553.1,    299306.4,    211474.4,    274672.9,    124024.0
   9014.737073, 1.425,  5735.0,    113037.8,    311362.2,    302423.0,    213290.5,    276037.9,    124584.0
   9014.738747, 1.427,  5443.0,    114534.0,    313603.9,    301547.9,    213776.8,    276511.6,    124599.1
   9014.740427, 1.429,  5070.0,    116234.0,    315726.7,    307488.4,    216874.0,    281599.1,    127172.6
   9014.742102, 1.431,  4854.0,    113763.5,    313428.4,    305003.7,    213630.2,    278641.2,    126231.1
   9014.743779, 1.433,  4533.0,    114756.4,    308074.3,    299063.1,    213997.2,    272295.4,    123419.8
   9014.745454, 1.435,  4290.0,    109972.9,    299165.8,    287300.6,    204811.5,    263000.1,    121005.4
   9014.747128, 1.437,  4027.0,    112370.2,    309935.4,    297220.6,    210557.1,    273743.2,    123566.2
   9014.748805, 1.439,  3750.0,    115233.7,    313428.5,    302485.8,    213245.9,    276803.0,    125390.5
   9014.750480, 1.442,  3442.0,    110309.1,    297913.2,    289825.9,    203926.4,    266427.8,    119745.7
   9014.752159, 1.444,  3165.0,    112797.5,    308745.6,    298906.1,    209320.1,    273389.2,    122272.1
